id,user_id,order_date,status
138,36,2025-11-19,returned
139,81,2025-09-25,completed
140,57,2025-05-01,completed
141,31,2025-05-07,completed
142,41,2025-06-04,returned
143,18,2025-02-14,completed
144,50,2025-04-07,placed
145,91,2025-03-23,completed
146,54,2025-02-05,shipped
147,70,2025-06-02,shipped
148,8,2025-07-17,completed
149,50,2025-07-20,returned
150,3,2025-12-21,returned
151,62,2025-07-27,completed
152,39,2025-06-13,shipped
153,69,2025-07-19,placed
154,78,2025-10-28,completed
155,29,2025-09-26,completed
156,63,2025-08-28,completed
157,44,2025-07-04,placed
158,52,2025-12-12,placed
159,60,2025-03-01,completed
160,69,2025-11-11,completed
161,76,2025-07-06,returned
162,4,2025-11-04,completed
163,55,2025-11-22,completed
164,24,2025-08-13,completed
165,49,2025-05-22,completed
166,59,2025-04-25,completed
167,98,2025-06-05,shipped
168,97,2025-05-03,shipped
169,11,2025-05-18,shipped
170,96,2025-01-10,returned
171,45,2025-01-27,completed
172,9,2025-11-25,placed
173,97,2025-01-21,completed
174,26,2025-05-15,completed
175,20,2025-11-11,completed
176,61,2025-03-09,placed
177,73,2025-02-03,completed
178,90,2025-08-15,completed
179,22,2025-07-21,returned
180,96,2025-11-03,placed
181,100,2025-02-03,completed
182,14,2025-06-20,returned
183,40,2025-01-14,returned
184,49,2025-12-11,shipped
185,10,2025-04-18,returned
186,81,2025-12-18,completed
187,90,2025-02-25,completed
188,77,2025-12-15,completed
189,6,2025-10-10,completed
190,55,2025-09-21,placed
191,9,2025-07-22,returned
192,44,2025-11-24,completed
193,63,2025-07-20,completed
194,47,2025-08-26,placed
195,91,2025-08-12,completed
196,23,2025-08-27,placed
197,84,2025-09-16,completed
198,69,2025-11-08,shipped
199,56,2025-08-15,placed
200,35,2025-10-24,completed
201,12,2025-05-14,completed
202,32,2025-08-07,shipped
203,79,2025-10-12,placed
204,44,2025-07-27,completed
205,42,2025-09-02,completed
206,28,2025-09-26,completed
207,44,2025-05-21,completed
208,90,2025-10-26,completed
209,2,2025-10-05,returned
210,11,2025-04-14,completed
211,63,2025-07-13,returned
212,89,2025-04-12,shipped
213,92,2025-11-23,shipped
214,3,2025-08-06,completed
215,29,2025-05-11,shipped
216,32,2025-12-19,completed
217,75,2025-11-04,completed
218,71,2025-08-19,returned
219,55,2025-06-09,placed
220,43,2025-10-02,completed
221,59,2025-12-24,completed
222,33,2025-06-17,completed
223,93,2025-02-06,completed
224,16,2025-06-22,placed
225,98,2025-09-23,placed
226,25,2025-04-11,completed
227,36,2025-08-24,placed
228,98,2025-10-22,returned
229,37,2025-10-26,completed
230,38,2025-04-16,completed
231,23,2025-06-17,completed
232,91,2025-01-08,returned
233,36,2025-03-09,completed
234,71,2025-01-28,completed
235,17,2025-12-22,placed
236,14,2025-09-28,completed
237,37,2025-10-14,shipped
238,57,2025-08-22,completed
239,7,2025-04-11,completed
240,15,2025-08-21,completed
241,63,2025-07-10,completed
242,81,2025-10-16,placed
243,20,2025-01-28,completed
244,39,2025-10-09,completed
245,16,2025-05-16,returned
246,78,2025-07-18,returned
247,29,2025-11-09,returned
248,58,2025-07-27,shipped
249,76,2025-05-13,shipped
250,73,2025-06-17,returned
251,79,2025-01-03,placed
252,98,2025-02-23,completed
253,28,2025-11-13,completed
254,11,2025-11-03,completed
255,23,2025-04-11,returned
256,21,2025-02-11,completed
257,58,2025-07-14,placed
258,61,2025-10-25,completed
259,30,2025-01-17,completed
260,37,2025-12-26,placed
261,10,2025-08-09,placed
262,34,2025-04-08,placed
263,85,2025-10-22,completed
264,15,2025-08-22,returned
265,83,2025-04-04,completed
266,19,2025-05-25,completed
267,22,2025-01-03,completed
268,96,2025-10-25,returned
269,57,2025-05-08,completed
270,89,2025-08-16,completed
271,52,2025-12-23,completed
272,70,2025-09-05,shipped
273,11,2025-08-01,returned
274,56,2025-01-21,placed
275,78,2025-06-26,completed
276,12,2025-01-14,completed
277,74,2025-12-10,returned
278,98,2025-01-11,placed
279,74,2025-05-26,completed
280,61,2025-03-06,returned
281,57,2025-11-26,completed
282,75,2025-03-09,shipped
283,63,2025-11-18,completed
284,45,2025-08-17,shipped
285,42,2025-06-03,placed
286,21,2025-02-26,completed
287,89,2025-07-15,shipped
288,85,2025-05-08,shipped
289,5,2025-10-02,shipped
290,41,2025-02-18,completed
291,15,2025-06-26,shipped
292,1,2025-09-12,placed
293,60,2025-09-26,shipped
294,25,2025-01-28,returned
295,80,2025-06-18,shipped
296,57,2025-11-13,completed
297,35,2025-04-21,returned
298,37,2025-03-12,shipped
299,63,2025-12-22,completed
300,81,2025-01-15,returned
