id,order_id,payment_method,amount
95,69,bank_transfer,164.36
96,70,credit_card,200.01
97,71,bank_transfer,9.38
98,72,coupon,9.66
99,73,credit_card,42.39
100,74,credit_card,224.97
101,74,gift_card,137.24
102,75,credit_card,138.34
103,76,credit_card,219.54
104,77,gift_card,194.79
105,78,credit_card,299.58
106,79,gift_card,207.4
107,79,gift_card,215.16
108,80,credit_card,270.28
109,80,coupon,184.45
110,81,bank_transfer,86.13
111,82,gift_card,298.42
112,83,gift_card,154.14
113,84,credit_card,238.96
114,84,credit_card,256.57
115,85,gift_card,138.21
116,86,gift_card,104.98
117,87,gift_card,127.72
118,87,credit_card,97.2
119,88,coupon,115.42
120,89,gift_card,24.8
121,90,credit_card,132.4
122,91,bank_transfer,169.13
123,92,credit_card,126.19
124,93,credit_card,290.68
125,93,coupon,108.74
126,94,bank_transfer,198.74
127,95,credit_card,108.28
128,96,credit_card,229.97
129,97,gift_card,254.32
130,98,coupon,13.54
131,99,coupon,276.85
132,100,credit_card,58.51
133,101,gift_card,25.53
134,102,credit_card,225.1
135,103,gift_card,128.85
136,104,bank_transfer,114.17
137,105,credit_card,265.59
138,106,bank_transfer,227.56
139,107,credit_card,85.27
140,108,gift_card,184.09
141,108,gift_card,85.58
142,109,coupon,131.82
143,110,gift_card,160.45
144,111,credit_card,70.05
145,112,credit_card,65.3
146,113,bank_transfer,230.43
147,114,coupon,40.4
148,115,gift_card,56.83
149,115,gift_card,162.11
150,116,coupon,26.26
151,117,gift_card,10.53
152,118,coupon,174.85
153,119,gift_card,90.41
154,119,gift_card,11.15
155,120,bank_transfer,241.39
156,121,coupon,31.0
157,121,credit_card,76.78
158,122,credit_card,121.75
159,122,coupon,225.01
160,123,coupon,234.84
161,124,credit_card,161.53
162,125,coupon,108.57
163,126,bank_transfer,35.33
164,127,bank_transfer,56.18
165,128,credit_card,57.26
166,129,gift_card,227.56
167,129,gift_card,205.93
168,130,coupon,49.53
169,131,gift_card,135.45
170,132,coupon,179.47
171,133,credit_card,96.57
172,134,credit_card,21.78
173,134,coupon,27.64
174,135,gift_card,141.5
175,136,gift_card,273.17
176,137,coupon,183.48
177,138,credit_card,137.9
178,139,credit_card,153.84
179,140,credit_card,78.08
180,141,gift_card,159.6
181,141,bank_transfer,112.35
182,142,gift_card,125.59
183,143,credit_card,237.82
184,144,credit_card,102.26
185,145,coupon,79.34
186,145,bank_transfer,103.34
187,146,coupon,96.52
188,147,bank_transfer,180.54
189,147,credit_card,96.33
190,148,coupon,244.89
191,148,credit_card,195.58
192,149,coupon,10.38
193,149,coupon,58.18
194,150,coupon,284.56
195,151,bank_transfer,71.83
196,151,bank_transfer,50.71
197,152,credit_card,154.77
198,153,coupon,263.54
199,154,gift_card,50.5
200,155,bank_transfer,217.75
201,156,gift_card,112.47
202,157,gift_card,185.13
203,158,bank_transfer,162.53
204,158,coupon,289.85
205,159,bank_transfer,113.51
206,159,gift_card,141.2
207,160,gift_card,153.36
208,161,bank_transfer,245.98
209,161,bank_transfer,262.54
210,162,gift_card,262.86
211,163,credit_card,89.09
212,164,coupon,137.55
213,165,gift_card,32.06
214,166,gift_card,265.97
215,167,gift_card,20.71
216,168,bank_transfer,118.92
217,169,coupon,71.24
218,170,credit_card,252.56
219,171,bank_transfer,45.59
220,172,gift_card,210.34
221,173,gift_card,137.34
222,174,credit_card,10.61
223,175,bank_transfer,166.9
224,176,credit_card,233.97
225,176,bank_transfer,93.84
226,177,bank_transfer,128.85
227,178,credit_card,37.7
228,178,gift_card,181.04
229,179,bank_transfer,216.97
230,180,gift_card,5.46
231,181,bank_transfer,173.35
232,182,credit_card,159.43
233,183,credit_card,286.25
234,184,gift_card,262.63
235,185,gift_card,294.41
236,186,credit_card,110.34
237,187,coupon,76.13
238,188,coupon,44.36
239,189,coupon,244.99
240,190,gift_card,294.34
241,191,bank_transfer,244.39
242,191,credit_card,216.23
243,192,credit_card,91.57
244,192,credit_card,238.38
245,193,coupon,280.34
246,194,gift_card,79.73
247,194,bank_transfer,89.4
248,195,coupon,85.6
249,196,gift_card,267.4
250,197,gift_card,105.02
251,197,bank_transfer,151.38
252,198,coupon,277.67
253,198,coupon,241.34
254,199,credit_card,132.03
255,199,bank_transfer,165.91
256,200,credit_card,28.62
257,201,coupon,136.55
258,202,bank_transfer,208.48
259,202,coupon,136.9
260,203,gift_card,85.99
261,204,credit_card,203.0
262,205,coupon,156.36
263,205,bank_transfer,286.07
264,206,gift_card,15.27
265,207,bank_transfer,234.66
266,208,coupon,117.94
267,209,bank_transfer,205.32
268,210,coupon,135.96
269,211,bank_transfer,161.19
270,212,coupon,196.62
271,212,bank_transfer,288.35
272,213,bank_transfer,152.22
273,214,credit_card,82.22
274,214,coupon,212.69
275,215,coupon,209.72
276,216,bank_transfer,41.18
277,216,credit_card,138.35
278,217,credit_card,244.1
279,217,coupon,202.01
280,218,coupon,267.94
281,219,bank_transfer,239.14
282,220,credit_card,295.61
283,221,bank_transfer,238.16
284,222,coupon,168.44
285,223,gift_card,242.08
286,224,credit_card,24.4
287,225,gift_card,160.08
288,225,gift_card,247.89
289,226,bank_transfer,291.85
290,227,gift_card,142.42
291,228,bank_transfer,264.0
292,229,bank_transfer,132.62
293,230,credit_card,157.84
294,231,bank_transfer,52.78
295,232,coupon,284.51
296,233,credit_card,78.93
297,234,bank_transfer,189.38
298,235,bank_transfer,179.58
299,236,bank_transfer,199.33
300,237,credit_card,248.44
301,238,credit_card,18.41
302,239,bank_transfer,231.25
303,240,credit_card,151.92
304,240,coupon,194.36
305,241,gift_card,77.24
306,242,coupon,138.8
307,242,credit_card,51.63
308,243,gift_card,142.01
309,243,coupon,183.96
310,244,coupon,221.59
311,245,gift_card,43.58
312,246,credit_card,99.14
313,247,credit_card,83.9
314,247,bank_transfer,46.56
315,248,coupon,283.89
316,249,bank_transfer,288.99
317,249,bank_transfer,244.98
318,250,bank_transfer,230.12
319,251,gift_card,152.13
320,251,coupon,151.72
321,252,gift_card,154.11
322,253,bank_transfer,177.09
323,254,credit_card,88.0
324,255,coupon,163.32
325,255,credit_card,132.12
326,256,coupon,230.34
327,257,credit_card,123.17
328,258,coupon,168.2
329,259,gift_card,153.76
330,260,credit_card,42.96
331,261,gift_card,115.09
332,262,coupon,227.71
333,263,gift_card,152.52
334,264,credit_card,45.43
335,265,gift_card,158.2
336,266,bank_transfer,101.75
337,267,bank_transfer,120.92
338,268,coupon,154.66
339,269,coupon,145.09
340,269,credit_card,113.67
341,270,gift_card,177.19
342,271,gift_card,83.33
343,272,credit_card,177.14
344,273,gift_card,48.59
345,274,credit_card,173.91
346,275,bank_transfer,10.59
347,276,gift_card,49.67
348,277,gift_card,153.04
349,278,credit_card,213.2
350,278,bank_transfer,170.46
351,279,gift_card,97.56
352,279,bank_transfer,140.6
353,280,coupon,204.38
354,281,gift_card,61.72
355,282,coupon,169.64
356,283,coupon,232.5
357,284,gift_card,98.53
358,285,coupon,89.9
359,286,gift_card,246.42
360,286,bank_transfer,90.68
361,287,credit_card,107.18
362,288,coupon,225.46
363,288,bank_transfer,64.61
364,289,coupon,45.5
365,290,bank_transfer,19.98
366,291,bank_transfer,20.48
367,292,coupon,216.62
368,292,credit_card,205.95
369,293,credit_card,289.53
370,294,gift_card,197.6
371,295,gift_card,196.91
372,295,coupon,99.74
373,296,credit_card,197.43
374,297,credit_card,274.4
375,298,gift_card,265.26
376,299,credit_card,299.17
377,300,gift_card,59.96
378,300,coupon,263.64
